A,1000,117728
A,1000,117728
A,1000,117728
A,2000,113089
A,2000,113089
A,2000,113089
A,3000,110964
A,3000,110964
A,3000,110964
B,1000,140000
B,1000,140000
B,1000,140000
B,2000,132366
B,2000,132366
B,2000,132366
B,3000,129668
B,3000,129668
B,3000,129668
C,1000,140455
C,1000,140455
C,1000,140455
C,2000,132841
C,2000,132841
C,2000,132841
C,3000,130151
C,3000,130151
C,3000,130151
D,1000,17273
D,1000,17273
D,1000,17273
D,2000,15236
D,2000,15236
D,2000,15236
D,3000,14353
D,3000,14353
D,3000,14353
A,1000,432079
A,1000,431680
A,1000,432112
A,2000,423727
A,2000,423621
A,2000,423779
A,3000,421059
A,3000,420841
A,3000,420895
B,1000,497933
B,1000,498339
B,1000,498117
B,2000,493267
B,2000,493122
B,2000,497095
B,3000,491364
B,3000,494166
B,3000,491306
C,1000,499361
C,1000,4110159
C,1000,499803
C,2000,499693
C,2000,494574
C,2000,494570
C,3000,496105
C,3000,493016
C,3000,493583
D,1000,414000
D,1000,413561
D,1000,413816
D,2000,414025
D,2000,414174
D,2000,413871
D,3000,412549
D,3000,414202
D,3000,414170
A,1000,1663860
A,1000,1663711
A,1000,1663014
A,2000,1654995
A,2000,1655905
A,2000,1655381
A,3000,1652170
A,3000,1652854
A,3000,1652647
B,1000,16326609
B,1000,16333660
B,1000,16333219
B,2000,16334546
B,2000,16334558
B,2000,16334068
B,3000,16346131
B,3000,16346633
B,3000,16346810
C,1000,16367905
C,1000,16328808
C,1000,16327878
C,2000,16340034
C,2000,16356497
C,2000,16354204
C,3000,16342250
C,3000,16354130
C,3000,16343236
D,1000,1611314
D,1000,1613974
D,1000,168802
D,2000,1616537
D,2000,1610654
D,2000,1612943
D,3000,168214
D,3000,1617142
D,3000,163202
