A,1000,12491819
A,1000,12460000
A,1000,12718501
A,2000,11534269
A,2000,11604448
A,2000,11532841
A,3000,11104932
A,3000,11146735
A,3000,11109284
B,1000,13141819
B,1000,13456501
B,1000,13455501
B,2000,11866067
B,2000,11777011
B,2000,11866067
B,3000,11228884
B,3000,11269653
B,3000,11269487
C,1000,13289546
C,1000,13289546
C,1000,13289546
C,2000,11803903
C,2000,11893803
C,2000,11803665
C,3000,11237181
C,3000,11237181
C,3000,11237181
D,1000,14803501
D,1000,14806501
D,1000,14809501
D,2000,14383308
D,2000,14383808
D,2000,14383058
D,3000,14183272
D,3000,14184772
D,3000,14184605
A,1000,43205313
A,1000,43525575
A,1000,43196537
A,2000,41775270
A,2000,41776536
A,2000,41865314
A,3000,41226771
A,3000,41225089
A,3000,41225667
B,1000,43480699
B,1000,43484950
B,1000,43485161
B,2000,41843147
B,2000,41843878
B,2000,41841609
B,3000,41251384
B,3000,41252924
B,3000,41294390
C,1000,43504773
C,1000,43501066
C,1000,43496036
C,2000,41844883
C,2000,41845501
C,2000,41844760
C,3000,41253616
C,3000,41257073
C,3000,41255313
D,1000,414080280
D,1000,413829881
D,1000,413913989
D,2000,413390948
D,2000,413341543
D,2000,413366947
D,3000,412799804
D,3000,413202709
D,3000,413218337
A,1000,163463178
A,1000,163467192
A,1000,163467064
A,2000,161839795
A,2000,161842420
A,2000,161839846
A,3000,161251891
A,3000,161250205
A,3000,161251364
B,1000,163524649
B,1000,163525288
B,1000,163529661
B,2000,161855935
B,2000,161770472
B,2000,161854786
B,3000,161180956
B,3000,161257110
B,3000,161082969
C,1000,163541673
C,1000,163540829
C,1000,163540939
C,2000,161859509
C,2000,161774315
C,2000,161858194
C,3000,161261565
C,3000,161261103
C,3000,161261759
D,1000,164703872
D,1000,165285901
D,1000,166263508
D,2000,163532539
D,2000,165425156
D,2000,163629805
D,3000,164206388
D,3000,164697225
D,3000,164218237
