A@one,1000,100450
A@one,1000,100450
A@one,1000,100450
A@one,2000,67144
A@one,2000,67144
A@one,2000,67144
A@one,3000,49244
A@one,3000,49244
A@one,3000,49244
B@one,1000,184091
B@one,1000,184091
B@one,1000,184091
B@one,2000,97573
B@one,2000,97573
B@one,2000,97573
B@one,3000,64823
B@one,3000,64823
B@one,3000,64823
C@one,1000,169167
C@one,1000,169167
C@one,1000,156154
C@one,2000,97573
C@one,2000,97573
C@one,2000,97573
C@one,3000,66914
C@one,3000,66914
C@one,3000,66914
D@one,1000,7718001
D@one,1000,7622001
D@one,1000,7637001
D@one,2000,5924580
D@one,2000,5924580
D@one,2000,5924580
D@one,3000,6781645
D@one,3000,6765823
D@one,3000,6772985
A@four,1000,183500
A@four,1000,144482
A@four,1000,126705
A@four,2000,70618
A@four,2000,96927
A@four,2000,96678
A@four,3000,60332
A@four,3000,66180
A@four,3000,64188
B@four,1000,190030
B@four,1000,190074
B@four,1000,189948
B@four,2000,103648
B@four,2000,103589
B@four,2000,103582
B@four,3000,73211
B@four,3000,73056
B@four,3000,73027
C@four,1000,189900
C@four,1000,190450
C@four,1000,190020
C@four,2000,99525
C@four,2000,104038
C@four,2000,103803
C@four,3000,73182
C@four,3000,73340
C@four,3000,73254
D@four,1000,22298400
D@four,1000,22118596
D@four,1000,22287989
D@four,2000,19980846
D@four,2000,19962858
D@four,2000,20042104
D@four,3000,16510608
D@four,3000,16489078
D@four,3000,16441449
A@sixteen,1000,187094
A@sixteen,1000,187256
A@sixteen,1000,187540
A@sixteen,2000,100953
A@sixteen,2000,101132
A@sixteen,2000,100871
A@sixteen,3000,66597
A@sixteen,3000,70369
A@sixteen,3000,70535
B@sixteen,1000,214132
B@sixteen,1000,212308
B@sixteen,1000,212590
B@sixteen,2000,127567
B@sixteen,2000,127277
B@sixteen,2000,127294
B@sixteen,3000,97201
B@sixteen,3000,97266
B@sixteen,3000,97384
C@sixteen,1000,214706
C@sixteen,1000,213410
C@sixteen,1000,213560
C@sixteen,2000,128280
C@sixteen,2000,128014
C@sixteen,2000,128438
C@sixteen,3000,97960
C@sixteen,3000,98206
C@sixteen,3000,98358
D@sixteen,1000,24564089
D@sixteen,1000,23818972
D@sixteen,1000,24114724
D@sixteen,2000,27262865
D@sixteen,2000,29707127
D@sixteen,2000,26323277
D@sixteen,3000,30108879
D@sixteen,3000,29990609
D@sixteen,3000,30120956
