A@1,1000,264546
A@1,1000,290501
A@1,1000,290501
A@1,2000,154688
A@1,2000,154688
A@1,2000,154688
A@1,3000,109319
A@1,3000,109319
A@1,3000,109319
B@1,1000,324546
B@1,1000,324546
B@1,1000,324546
B@1,2000,178486
B@1,2000,178486
B@1,2000,178486
B@1,3000,123831
B@1,3000,123831
B@1,3000,123831
C@1,1000,325000
C@1,1000,325000
C@1,1000,325000
C@1,2000,178724
C@1,2000,178724
C@1,2000,178724
C@1,3000,123992
C@1,3000,123992
C@1,3000,123992
D@1,1000,192001
D@1,1000,174546
D@1,1000,174546
D@1,2000,182056
D@1,2000,182294
D@1,2000,182294
D@1,3000,184779
D@1,3000,184779
D@1,3000,184779
A@4,1000,315222
A@4,1000,315145
A@4,1000,315219
A@4,2000,175418
A@4,2000,175755
A@4,2000,175488
A@4,3000,121708
A@4,3000,121545
A@4,3000,121774
B@4,1000,353788
B@4,1000,354154
B@4,1000,354496
B@4,2000,192300
B@4,2000,192220
B@4,2000,192112
B@4,3000,132905
B@4,3000,132771
B@4,3000,132835
C@4,1000,354810
C@4,1000,354596
C@4,1000,353943
C@4,2000,183996
C@4,2000,183820
C@4,2000,191864
C@4,3000,133184
C@4,3000,133177
C@4,3000,129268
D@4,1000,692772
D@4,1000,693130
D@4,1000,712009
D@4,2000,663398
D@4,2000,623096
D@4,2000,670015
D@4,3000,626942
D@4,3000,566345
D@4,3000,639711
A@16,1000,345764
A@16,1000,343845
A@16,1000,343946
A@16,2000,173122
A@16,2000,188455
A@16,2000,189108
A@16,3000,130574
A@16,3000,130390
A@16,3000,126377
B@16,1000,382269
B@16,1000,381831
B@16,1000,381689
B@16,2000,216326
B@16,2000,216213
B@16,2000,216364
B@16,3000,157327
B@16,3000,158011
B@16,3000,157661
C@16,1000,383266
C@16,1000,381924
C@16,1000,384139
C@16,2000,216539
C@16,2000,216527
C@16,2000,216285
C@16,3000,158651
C@16,3000,158220
C@16,3000,158238
D@16,1000,224041
D@16,1000,140862
D@16,1000,170659
D@16,2000,165869
D@16,2000,188798
D@16,2000,165683
D@16,3000,238661
D@16,3000,128571
D@16,3000,168884
